filename,width,height,class,xmin,ymin,xmax,ymax
14_024_2_0042.bmp,800,800,Stenosis,235,156,282,192
14_031_4_0031.bmp,800,800,Stenosis,419,319,446,349
14_046_5_0066.bmp,1000,1000,Stenosis,679,307,699,336
14_010_6_0035.bmp,512,512,Stenosis,94,244,126,286
14_014_1_0015.bmp,512,512,Stenosis,163,118,203,151
14_084_7_0060.bmp,800,800,Stenosis,104,202,152,269
14_032_7_0041.bmp,800,800,Stenosis,388,288,406,319
14_084_6_0046.bmp,800,800,Stenosis,483,259,555,313
14_070_5_0042.bmp,512,512,Stenosis,66,168,100,193
14_007_5_0063.bmp,800,800,Stenosis,406,191,445,234
14_007_8_0077.bmp,800,800,Stenosis,460,188,508,231
14_026_2_0052.bmp,800,800,Stenosis,178,220,228,272
14_068_2_0032.bmp,512,512,Stenosis,153,176,180,207
14_039_4_0035.bmp,800,800,Stenosis,244,220,265,245
14_006_1_0050.bmp,800,800,Stenosis,506,465,584,598
14_007_3_0064.bmp,800,800,Stenosis,421,198,469,233
14_014_1_0032.bmp,512,512,Stenosis,145,105,199,138
14_084_6_0035.bmp,800,800,Stenosis,471,267,551,319
14_033_4_0027.bmp,800,800,Stenosis,401,151,431,181
14_095_1_0037.bmp,800,800,Stenosis,526,479,572,501
14_021_38_0015.bmp,512,512,Stenosis,145,331,198,350
14_024_5_0076.bmp,800,800,Stenosis,448,68,488,118
14_007_5_0092.bmp,800,800,Stenosis,430,222,467,261
14_033_4_0056.bmp,800,800,Stenosis,428,200,458,233
14_094_3_0060.bmp,512,512,Stenosis,201,118,223,156
14_018_6_0042.bmp,608,608,Stenosis,146,147,187,192
14_012_4_0028.bmp,512,512,Stenosis,156,84,177,111
14_040_5_0017.bmp,512,512,Stenosis,416,180,432,193
14_015_1_0015.bmp,1000,1000,Stenosis,213,159,325,238
14_021_1_0075.bmp,800,800,Stenosis,149,524,230,566
14_029_6_0083.bmp,800,800,Stenosis,122,392,158,418
14_050_8_0050.bmp,512,512,Stenosis,172,125,221,144
14_032_6_0074.bmp,800,800,Stenosis,464,282,490,325
14_019_5_0035.bmp,800,800,Stenosis,377,123,445,160
14_080_3_0024.bmp,608,608,Stenosis,256,252,292,277
14_057_2_0068.bmp,1000,1000,Stenosis,438,212,500,271
14_083_6_0040.bmp,1000,1000,Stenosis,249,294,310,338
14_029_5_0059.bmp,800,800,Stenosis,192,423,237,459
14_046_5_0077.bmp,1000,1000,Stenosis,694,271,726,295
14_006_1_0138.bmp,800,800,Stenosis,471,438,560,575
14_006_1_0077.bmp,800,800,Stenosis,475,434,574,574
14_051_5_0024.bmp,512,512,Stenosis,150,85,203,107
14_021_37_0034.bmp,512,512,Stenosis,197,405,254,431
14_087_1_0090.bmp,800,800,Stenosis,256,250,335,300
14_021_37_0019.bmp,512,512,Stenosis,187,408,239,431
14_006_1_0112.bmp,800,800,Stenosis,457,488,548,608
14_019_5_0034.bmp,800,800,Stenosis,362,134,430,171
14_057_3_0061.bmp,1000,1000,Stenosis,389,117,443,174
14_039_1_0037.bmp,800,800,Stenosis,244,126,274,162
14_016_1_0038.bmp,800,800,Stenosis,346,207,403,250
14_007_5_0082.bmp,800,800,Stenosis,386,201,433,239
14_075_4_0035.bmp,512,512,Stenosis,105,171,150,196
14_059_1_0060.bmp,800,800,Stenosis,363,352,459,404
14_021_16_0079.bmp,608,608,Stenosis,120,89,152,138
14_084_7_0032.bmp,800,800,Stenosis,81,248,120,294
14_029_2_0063.bmp,800,800,Stenosis,213,246,241,289
14_062_2_0037.bmp,1000,1000,Stenosis,301,239,372,300
14_053_1_0067.bmp,800,800,Stenosis,167,512,238,550
14_084_7_0059.bmp,800,800,Stenosis,90,198,130,258
14_062_5_0064.bmp,800,800,Stenosis,125,402,151,482
14_096_6_0067.bmp,800,800,Stenosis,240,217,340,252
14_075_5_0020.bmp,512,512,Stenosis,169,65,223,89
14_040_1_0031.bmp,512,512,Stenosis,265,173,274,191
14_006_1_0139.bmp,800,800,Stenosis,477,436,578,577
14_075_3_0021.bmp,512,512,Stenosis,95,232,122,275
14_033_4_0068.bmp,800,800,Stenosis,405,169,438,199
14_083_6_0042.bmp,1000,1000,Stenosis,261,296,310,349
14_039_7_0072.bmp,800,800,Stenosis,225,186,252,212
14_018_6_0030.bmp,608,608,Stenosis,183,159,230,203
14_081_3_0031.bmp,800,800,Stenosis,99,286,140,351
14_075_6_0016.bmp,512,512,Stenosis,177,101,247,120
14_040_5_0030.bmp,512,512,Stenosis,383,168,407,179
14_051_5_0027.bmp,512,512,Stenosis,134,85,197,104
14_088_1_0031.bmp,800,800,Stenosis,491,192,572,231
14_075_4_0060.bmp,512,512,Stenosis,113,220,159,235
14_007_3_0052.bmp,800,800,Stenosis,434,217,482,259
14_021_34_0033.bmp,512,512,Stenosis,335,98,369,128
14_042_4_0042.bmp,800,800,Stenosis,526,361,546,388
14_048_2_0023.bmp,1000,1000,Stenosis,234,283,258,325
14_040_5_0021.bmp,512,512,Stenosis,363,185,385,198
14_050_10_0044.bmp,512,512,Stenosis,241,178,291,197
